dataset,n_feats,snr,N,round,method,train_time,adj_r2,rmse,mae
feats5_snr10_N100000,5,10,100000,1,sklearn_fixed,6.415567200019723,0.9085774521870265,0.9546161205243424,0.7609638852181837
feats5_snr10_N100000,5,10,100000,2,sklearn_fixed,9.848950600018725,0.9090737203282637,0.9491102332114835,0.7564280605731178
feats5_snr10_N100000,5,10,100000,3,sklearn_fixed,8.092522199993255,0.9083515609574367,0.9531448602622153,0.7620905517784169
feats5_snr10_N100000,5,10,100000,4,sklearn_fixed,5.604312100011157,0.9081801067804213,0.9511364943831183,0.759446859437942
feats5_snr10_N100000,5,10,100000,5,sklearn_fixed,6.029418199992506,0.9086399545266944,0.9514015044581252,0.759652566301825
feats5_snr10_N100000,5,10,100000,6,sklearn_fixed,6.724105800007237,0.9094629948717712,0.9477183982502685,0.756141894838318
feats5_snr10_N100000,5,10,100000,7,sklearn_fixed,5.594725200004177,0.9095438304669357,0.9466888040742749,0.7568566777142622
feats5_snr10_N100000,5,10,100000,8,sklearn_fixed,8.580632099998184,0.9100851215093373,0.9467974869689575,0.7556196342153083
feats5_snr10_N100000,5,10,100000,9,sklearn_fixed,7.3440227000101,0.908747386981134,0.9477488696948463,0.7572268226171981
feats5_snr10_N10000,5,10,10000,0,sklearn_fixed,1.493951799988281,0.9039311641062,0.7677861725985237,0.6093349923128771
feats5_snr10_N10000,5,10,10000,1,sklearn_fixed,1.7821703999943566,0.9071719584415432,0.7637039128871386,0.6072227138224301
feats5_snr10_N10000,5,10,10000,2,sklearn_fixed,1.2215605000092182,0.9048346054810562,0.7692906044432788,0.6117995130729349
feats5_snr10_N10000,5,10,10000,3,sklearn_fixed,1.819739300000947,0.9085536019839769,0.7563791615557128,0.5994102486192358
feats5_snr10_N10000,5,10,10000,4,sklearn_fixed,1.662853100016946,0.9047388082307639,0.7635713666516248,0.6053931620390347
feats5_snr10_N10000,5,10,10000,5,sklearn_fixed,1.4596239000093192,0.9060094071176112,0.7638913359055945,0.6088825479552566
feats5_snr10_N10000,5,10,10000,6,sklearn_fixed,1.1623617999721318,0.9099340392101617,0.7563178826640761,0.6023060439377684
feats5_snr10_N10000,5,10,10000,7,sklearn_fixed,1.02551500001573,0.9063345930249608,0.7635817085247869,0.6057013920964343
feats5_snr10_N10000,5,10,10000,8,sklearn_fixed,1.1395782000035979,0.9059928925477169,0.766629371644311,0.608152488507109
feats5_snr10_N10000,5,10,10000,9,sklearn_fixed,1.4804478000150993,0.9074024340188661,0.7648038092467415,0.6066658215466739
feats5_snr10_N500000,5,10,500000,0,sklearn_fixed,28.06305099997553,0.9090448754673564,0.9466287721136797,0.7549477376991748
feats5_snr10_N500000,5,10,500000,1,sklearn_fixed,20.735479700000724,0.9084433004839002,0.9471611564611163,0.75592129829931
feats5_snr10_N500000,5,10,500000,2,sklearn_fixed,25.874860900017666,0.9089581562362896,0.9466875392705227,0.7556782195707878
feats5_snr10_N500000,5,10,500000,3,sklearn_fixed,23.937407899997197,0.9092671930976678,0.9463230814684694,0.7546378515381943
feats5_snr10_N500000,5,10,500000,4,sklearn_fixed,26.616266299999552,0.909392478419483,0.9447879686330194,0.7537471875936878
feats5_snr10_N500000,5,10,500000,5,sklearn_fixed,23.470645499997772,0.9091542025780531,0.945844673885519,0.754901358834834
feats5_snr10_N500000,5,10,500000,6,sklearn_fixed,23.16334330002428,0.908449927951255,0.9480516876927662,0.7557067136520862
feats5_snr10_N500000,5,10,500000,7,sklearn_fixed,29.546693600015715,0.9085726558424084,0.9475102230701633,0.7560448123570638
feats5_snr10_N500000,5,10,500000,8,sklearn_fixed,25.363924499979476,0.9086155068357998,0.947637363337191,0.7557056074298943
feats5_snr10_N500000,5,10,500000,9,sklearn_fixed,27.06436599997687,0.9091679957726593,0.9461158006553343,0.7548583323898258
feats5_snr3_N100000,5,3,100000,0,sklearn_fixed,8.7112533999898,0.7497687522181633,1.6709139825325634,1.330770537245194
feats5_snr3_N100000,5,3,100000,1,sklearn_fixed,5.050477400014643,0.7494178534817292,1.6671444781384075,1.3281252892752027
feats5_snr3_N100000,5,3,100000,2,sklearn_fixed,7.094901400007075,0.7469707596305721,1.672681955775942,1.331729322542476
feats5_snr3_N100000,5,3,100000,3,sklearn_fixed,8.037743299995782,0.7482559923169925,1.671051298337144,1.332581176248353
feats5_snr3_N100000,5,3,100000,4,sklearn_fixed,5.982988000003388,0.7462108514113707,1.6719284820899727,1.3333029625327757
feats5_snr3_N100000,5,3,100000,5,sklearn_fixed,8.243807699996978,0.7495311292744113,1.6686807373482728,1.3320934176550754
feats5_snr3_N100000,5,3,100000,6,sklearn_fixed,9.463993099983782,0.7463743689003949,1.6726749909917866,1.3313095435118094
feats5_snr3_N100000,5,3,100000,7,sklearn_fixed,5.1374060999951325,0.7457239156153005,1.6749133359693995,1.335592718680293
feats5_snr3_N100000,5,3,100000,8,sklearn_fixed,9.224802599987015,0.7484075965759522,1.6653283159980592,1.324291716326343
feats5_snr3_N100000,5,3,100000,9,sklearn_fixed,7.820659099990735,0.7471193842423007,1.668760372051334,1.3283883248357549
feats5_snr3_N10000,5,3,10000,0,sklearn_fixed,0.8718384000239894,0.7483115012187236,2.1450423215579093,1.7003580855650324
feats5_snr3_N10000,5,3,10000,1,sklearn_fixed,1.0986082000017632,0.7479135100093287,2.1620356776577694,1.7186844568632231
feats5_snr3_N10000,5,3,10000,2,sklearn_fixed,1.7181451999931596,0.748864691870419,2.1565904725090417,1.7074497057714646
feats5_snr3_N10000,5,3,10000,3,sklearn_fixed,1.7794166000094265,0.7474044616525107,2.1479764650158875,1.7034355811464854
feats5_snr3_N10000,5,3,10000,4,sklearn_fixed,1.4673881999915466,0.7419603492301068,2.1864071032796986,1.7360612947181326
feats5_snr3_N10000,5,3,10000,5,sklearn_fixed,1.821399599983124,0.7300832667530617,2.1990290360274445,1.7375322737980372
feats5_snr3_N10000,5,3,10000,6,sklearn_fixed,1.3419086000067182,0.7434566232604072,2.1742343061903657,1.7344971036232761
feats5_snr3_N10000,5,3,10000,7,sklearn_fixed,1.4274568999826442,0.7482295090045981,2.1745724882253032,1.7189689928290721
feats5_snr3_N10000,5,3,10000,8,sklearn_fixed,0.9335103000048548,0.7364956592423963,2.2022293538501887,1.7443851422161687
feats5_snr3_N10000,5,3,10000,9,sklearn_fixed,1.3508736999938264,0.7447338955094615,2.1807398669347453,1.7258903773032972
feats5_snr3_N500000,5,3,500000,0,sklearn_fixed,31.42233739999938,0.7497098926655802,1.1420972685991502,0.9111781931051123
feats5_snr3_N500000,5,3,500000,1,sklearn_fixed,25.74121149998973,0.7506652405940846,1.1409178764163481,0.9105641921922508
feats5_snr3_N500000,5,3,500000,2,sklearn_fixed,44.54500840001856,0.7495796171926112,1.139724203635004,0.9092825491436349
feats5_snr3_N500000,5,3,500000,3,sklearn_fixed,32.45780239999294,0.7497575192279091,1.140411611048867,0.909890883759261
feats5_snr3_N500000,5,3,500000,4,sklearn_fixed,42.84603969997261,0.7492682916581941,1.1428878941670355,0.9120460891721036
feats5_snr3_N500000,5,3,500000,5,sklearn_fixed,23.17068969999673,0.7499337683275966,1.1421536472489189,0.9108439774876798
feats5_snr3_N500000,5,3,500000,6,sklearn_fixed,33.30151690001367,0.7484959603189159,1.1421703883485663,0.9107828103912159
feats5_snr3_N500000,5,3,500000,7,sklearn_fixed,39.325458599982085,0.7490399405391501,1.1418355039237396,0.9112527745276712
feats5_snr3_N500000,5,3,500000,8,sklearn_fixed,27.752651599992532,0.7485805764807296,1.142925754057427,0.9117246309418641
feats5_snr3_N500000,5,3,500000,9,sklearn_fixed,31.355323900002986,0.7494025081966078,1.1421785455676965,0.9113788788415202
