dataset,n_feats,snr,N,round,method,train_time,adj_r2,rmse,mae,best_params
feats20_snr3_N100000,20,3,100000,2,xgboost,0.48350099998060614,0.7245234185066235,2.1585090191408054,1.7209032864795237,
feats20_snr3_N100000,20,3,100000,3,xgboost,0.4757650999817997,0.7262782210924772,2.1581294465458924,1.7218622906902035,
feats20_snr3_N100000,20,3,100000,4,xgboost,0.4581916000461206,0.7247951781615463,2.158379098238031,1.7223904136266828,
feats20_snr3_N100000,20,3,100000,5,xgboost,0.4607923999428749,0.7280277403961284,2.150409735623547,1.7168360628679087,
feats20_snr3_N100000,20,3,100000,6,xgboost,0.48140789999160916,0.7272579422165627,2.1514596770849326,1.7140929837741032,
feats20_snr3_N100000,20,3,100000,7,xgboost,0.46314330003224313,0.7261824189903636,2.160974181275542,1.7249516381530383,
feats20_snr3_N100000,20,3,100000,8,xgboost,0.46958539995830506,0.726158608128183,2.1556730789897838,1.7148141330688051,
feats20_snr3_N100000,20,3,100000,9,xgboost,0.45881540002301335,0.7246952979560237,2.1609375215693984,1.7230868991186714,
feats20_snr3_N10000,20,3,10000,0,xgboost,0.22247850010171533,0.6913657202387311,2.9384335072457852,2.345264207054383,
feats20_snr3_N10000,20,3,10000,1,xgboost,0.23884250002447516,0.6902609827993782,2.9561805390644253,2.3396759588797242,
feats20_snr3_N10000,20,3,10000,2,xgboost,0.21367120009381324,0.6870547077624352,2.958078141166358,2.346616540229503,
feats20_snr3_N10000,20,3,10000,3,xgboost,0.22101149999070913,0.6761818071518118,3.005204664263453,2.4034148996889657,
feats20_snr3_N10000,20,3,10000,4,xgboost,0.22276479995343834,0.6889750743859853,2.9693355084028745,2.359068154889437,
feats20_snr3_N10000,20,3,10000,5,xgboost,0.2201621999265626,0.6902919323031451,2.9432469925663476,2.3355718607715263,
feats20_snr3_N10000,20,3,10000,6,xgboost,0.2155248000053689,0.688982908768202,2.9335397767576357,2.327204573491252,
feats20_snr3_N10000,20,3,10000,7,xgboost,0.22023740003351122,0.6850239058275904,3.0202213987799373,2.408618831007675,
feats20_snr3_N10000,20,3,10000,8,xgboost,0.225124099990353,0.6917381882362584,2.9514345710489147,2.3446788945904196,
feats20_snr3_N10000,20,3,10000,9,xgboost,0.2258733999915421,0.6900660403143545,2.9597652965718693,2.353292976349005,
feats20_snr3_N500000,20,3,500000,0,xgboost,1.46407970006112,0.7321853743623961,2.3953321073933274,1.910377357043902,
feats20_snr3_N500000,20,3,500000,1,xgboost,1.339031699928455,0.7326304061507457,2.3948409736724345,1.9111406553072519,
feats20_snr3_N500000,20,3,500000,2,xgboost,1.3845921999309212,0.7310737405461776,2.402171772752106,1.916042838973384,
feats20_snr3_N500000,20,3,500000,3,xgboost,1.3444436999270692,0.732351483195167,2.3967550823356576,1.9113007311496544,
feats20_snr3_N500000,20,3,500000,4,xgboost,1.3280795000027865,0.7328456392174527,2.396265675642004,1.9113870186004773,
feats20_snr3_N500000,20,3,500000,5,xgboost,1.3999653999926522,0.7328349378978838,2.3940027346440225,1.9086560513231965,
feats20_snr3_N500000,20,3,500000,6,xgboost,1.3504316000035033,0.7314868242161077,2.4017520887879966,1.9149383325468399,
feats20_snr3_N500000,20,3,500000,7,xgboost,1.3353081999812275,0.7323403525226544,2.398007430710922,1.914934001514915,
feats20_snr3_N500000,20,3,500000,8,xgboost,1.355073899962008,0.7323748952912705,2.397536450169212,1.9123219685586956,
feats20_snr3_N500000,20,3,500000,9,xgboost,1.3365098000504076,0.7323184371521079,2.398727116991552,1.9126400196475604,
feats5_snr10_N100000,5,10,100000,0,xgboost,0.2850398999871686,0.9048890374245195,0.9689384444739438,0.7725343948814614,
feats5_snr10_N100000,5,10,100000,1,xgboost,0.2932942999759689,0.904757267594788,0.9743568147741439,0.7761255061240663,
