dataset,round,method,train_time,adj_r2,rmse,mae,nan_detected
feats20_snr3_N100000,8,torch_MP,0.1815039000066463,0.7339630496824161,2.1247301491329487,1.6892257928848267,False
feats20_snr3_N100000,9,torch_MP,0.2334209000109695,0.7383314929755715,2.106745458449306,1.6820306777954102,False
feats20_snr3_N10000,0,torch_MP,0.10554160000174306,0.7245295520503015,2.7760658382391665,2.2229273319244385,False
feats20_snr3_N10000,1,torch_MP,0.0933153000078164,0.7162563488961798,2.829409144427045,2.246593475341797,False
feats20_snr3_N10000,2,torch_MP,0.07098170000244863,0.7189516659169868,2.803286146552275,2.2329657077789307,False
feats20_snr3_N10000,3,torch_MP,0.11929899998358451,0.7109538651681085,2.839276662505357,2.2747490406036377,False
feats20_snr3_N10000,4,torch_MP,0.11842529999557883,0.709507673398202,2.8696619317187797,2.281069278717041,False
feats20_snr3_N10000,5,torch_MP,0.007764499983750284,,,,True
feats20_snr3_N10000,6,torch_MP,0.1500432000029832,0.7175596928735363,2.795527980936644,2.2241885662078857,False
feats20_snr3_N10000,7,torch_MP,0.39747659998829477,0.6426993107838812,3.2167378775137765,2.316021680831909,False
feats20_snr3_N10000,8,torch_MP,0.11105310000129975,0.7211961775664992,2.806874392230576,2.243741035461426,False
feats20_snr3_N10000,9,torch_MP,0.009246900008292869,,,,True
feats20_snr3_N500000,0,torch_MP,1.0294035999977496,0.7447002733431254,2.338694906559382,1.8650377988815308,False
feats20_snr3_N500000,1,torch_MP,2.3637363000016194,0.7406922555950152,2.3584619233173543,1.8823162317276,False
feats20_snr3_N500000,2,torch_MP,1.2489868999982718,0.7439724424037097,2.3438548763970237,1.8689275979995728,False
feats20_snr3_N500000,3,torch_MP,1.2363345999910962,0.7450774817120542,2.339080839015136,1.8661224842071533,False
