dataset,n_feats,snr,N,round,method,train_time,adj_r2,rmse,mae
feats20_snr3_N100000,20,3,100000,2,LR,0.036799499997869134,0.6880793838816281,2.296854926114509,1.8218944218766613
feats20_snr3_N100000,20,3,100000,3,LR,0.03647839999757707,0.6913572967773283,2.291663357329324,1.8217504765051729
feats20_snr3_N100000,20,3,100000,4,LR,0.028462200076319277,0.689868923746989,2.2912493267052256,1.8211367853169025
feats20_snr3_N100000,20,3,100000,5,LR,0.0348738000029698,0.6916263071314026,2.2898001191736426,1.8213985135440243
feats20_snr3_N100000,20,3,100000,6,LR,0.03510930004995316,0.6885834667467612,2.298941855779967,1.8260982861911292
feats20_snr3_N100000,20,3,100000,7,LR,0.03287819994147867,0.6908637087470861,2.2961164475400437,1.8257095016251104
feats20_snr3_N100000,20,3,100000,8,LR,0.03183960006572306,0.6895361372564182,2.2952969501546256,1.821154283300186
feats20_snr3_N100000,20,3,100000,9,LR,0.03389590000733733,0.6894794858143818,2.2949886618901227,1.824083703971752
feats20_snr3_N10000,20,3,10000,0,LR,0.004327600006945431,0.7166897293052064,2.8153017262528617,2.2424712834163567
feats20_snr3_N10000,20,3,10000,1,LR,0.002918299986049533,0.7156900910598847,2.832233098297271,2.2440301116989154
feats20_snr3_N10000,20,3,10000,2,LR,0.0038994000060483813,0.7115772790068039,2.839815764471328,2.243992730222082
feats20_snr3_N10000,20,3,10000,3,LR,0.0046036000130698085,0.7012792067838869,2.8863976265707225,2.29347686638725
feats20_snr3_N10000,20,3,10000,4,LR,0.004393600043840706,0.7154872701489419,2.8399619779109266,2.24932711125521
feats20_snr3_N10000,20,3,10000,5,LR,0.004393399925902486,0.7145475887759275,2.8256431080729594,2.2475579604767035
feats20_snr3_N10000,20,3,10000,6,LR,0.004170799977146089,0.7122563196960054,2.8216474543342094,2.243269004278347
feats20_snr3_N10000,20,3,10000,7,LR,0.005061900010332465,0.7134207691352933,2.8808612369761906,2.29852763695456
feats20_snr3_N10000,20,3,10000,8,LR,0.003546999883837998,0.7152038999128076,2.8368757549234154,2.248152984947911
feats20_snr3_N10000,20,3,10000,9,LR,0.0036349999718368053,0.7183065177703257,2.821701640003539,2.2453968586255852
feats20_snr3_N500000,20,3,500000,0,LR,0.17725299997255206,0.7027250995572143,2.5236417975180236,2.008043198037538
feats20_snr3_N500000,20,3,500000,1,LR,0.15636499994434416,0.7031904468639139,2.523246092107644,2.0081828107709327
feats20_snr3_N500000,20,3,500000,2,LR,0.19732180004939437,0.7016168393683007,2.530315108903476,2.013415339987344
feats20_snr3_N500000,20,3,500000,3,LR,0.18488389998674393,0.7030617036721558,2.52449399902368,2.008293890475871
feats20_snr3_N500000,20,3,500000,4,LR,0.18006649997550994,0.7033089974692595,2.525259543964853,2.009523818416929
feats20_snr3_N500000,20,3,500000,5,LR,0.15962980000767857,0.7028611984085334,2.5247274042853745,2.008978901085384
feats20_snr3_N500000,20,3,500000,6,LR,0.1624047999503091,0.7014702853402881,2.5324399698664926,2.015985281715721
feats20_snr3_N500000,20,3,500000,7,LR,0.1634673000080511,0.7030678661903342,2.525734365226207,2.011880866233679
feats20_snr3_N500000,20,3,500000,8,LR,0.17885219992604107,0.702693958078972,2.526990801230158,2.0121258759406064
feats20_snr3_N500000,20,3,500000,9,LR,0.16281190002337098,0.7031778870355496,2.525920870527597,2.0096600788143304
feats5_snr10_N100000,5,10,100000,0,LR,0.007598200114443898,0.8930283099190086,1.0275792546916132,0.8144543839726877
feats5_snr10_N100000,5,10,100000,1,LR,0.00968530005775392,0.8932915938461039,1.0313389514237865,0.8181252092309913
feats5_snr10_N100000,5,10,100000,2,LR,0.010262099909596145,0.8925312937975209,1.0318414152003428,0.8171986180819825
feats5_snr10_N100000,5,10,100000,3,LR,0.009212099947035313,0.8933984261752994,1.0279646549655237,0.8167555224011371
feats5_snr10_N100000,5,10,100000,4,LR,0.009672999964095652,0.8926166785444765,1.028591356022093,0.817459671776725
feats5_snr10_N100000,5,10,100000,5,LR,0.0068032999988645315,0.8930600654896799,1.0293323859040082,0.816952978646605
feats5_snr10_N100000,5,10,100000,6,LR,0.006665900000371039,0.8941739729963272,1.0246192136058887,0.8133080038783184
feats5_snr10_N100000,5,10,100000,7,LR,0.006612399942241609,0.8939473455844913,1.0250591248143115,0.8139288288703884
feats5_snr10_N100000,5,10,100000,8,LR,0.006739299977198243,0.8944264934696338,1.0259325025874404,0.8143811237097129
feats5_snr10_N100000,5,10,100000,9,LR,0.006758100003935397,0.8931969384934515,1.0253271832325814,0.8142485568866614
feats5_snr10_N10000,5,10,10000,0,LR,0.0016122000524774194,0.8792614532093918,0.86074001729253,0.676976071067518
